customer_no;customer_name;sales_document;distribution_channel;sales_organization;billing_doc_date;sales_group;PALEDGER;material_id;material_text;VVR03;VVR05;load_date;record_src
CUST001;Customer_CUST001;SALESDOC001;Retail;SalesOrg2;14.08.2023;SalesGroupC;01;1001;Material_1001;378.24;292.75;27.04.2025 12:00;TEST_SYSTEM
CUST002;Customer_CUST002;SALESDOC002;Wholesale;SalesOrg1;23.05.2024;SalesGroupA;02;1002;Material_1002;150.84;466.53;27.04.2025 12:00;TEST_SYSTEM
CUST003;Customer_CUST003;SALESDOC003;Online;SalesOrg3;17.01.2025;SalesGroupB;01;1003;Material_1003;451.02;303.42;27.04.2025 12:00;TEST_SYSTEM
CUST004;Customer_CUST004;SALESDOC004;Retail;SalesOrg1;05.10.2023;SalesGroupC;02;1004;Material_1004;267.35;157.67;27.04.2025 12:00;TEST_SYSTEM
CUST005;Customer_CUST005;SALESDOC005;Wholesale;SalesOrg2;30.12.2024;SalesGroupA;01;1005;Material_1005;320.89;411.12;27.04.2025 12:00;TEST_SYSTEM
CUST006;Customer_CUST006;SALESDOC006;Online;SalesOrg3;11.04.2025;SalesGroupB;01;1006;Material_1006;432.56;278.45;27.04.2025 12:00;TEST_SYSTEM
CUST007;Customer_CUST007;SALESDOC007;Retail;SalesOrg2;19.07.2023;SalesGroupC;02;1007;Material_1007;230.12;355.44;27.04.2025 12:00;TEST_SYSTEM
CUST008;Customer_CUST008;SALESDOC008;Wholesale;SalesOrg1;28.03.2024;SalesGroupA;01;1008;Material_1008;489.34;220.05;27.04.2025 12:00;TEST_SYSTEM
CUST009;Customer_CUST009;SALESDOC009;Online;SalesOrg3;07.09.2025;SalesGroupB;01;1009;Material_1009;178.59;470.18;27.04.2025 12:00;TEST_SYSTEM
CUST010;Customer_CUST010;SALESDOC010;Retail;SalesOrg1;02.11.2023;SalesGroupC;02;1010;Material_1010;399.75;301.67;27.04.2025 12:00;TEST_SYSTEM
CUST011;Customer_CUST011;SALESDOC011;Wholesale;SalesOrg2;15.06.2024;SalesGroupA;01;1011;Material_1011;265.22;384.81;27.04.2025 12:00;TEST_SYSTEM
CUST012;Customer_CUST012;SALESDOC012;Online;SalesOrg3;08.02.2025;SalesGroupB;02;1012;Material_1012;421.01;217.34;27.04.2025 12:00;TEST_SYSTEM
CUST013;Customer_CUST013;SALESDOC013;Retail;SalesOrg1;30.05.2023;SalesGroupC;02;1013;Material_1013;344.66;447.55;27.04.2025 12:00;TEST_SYSTEM
CUST014;Customer_CUST014;SALESDOC014;Wholesale;SalesOrg2;20.08.2024;SalesGroupA;01;1014;Material_1014;310.42;125.78;27.04.2025 12:00;TEST_SYSTEM
CUST015;Customer_CUST015;SALESDOC015;Online;SalesOrg3;11.12.2025;SalesGroupB;01;1015;Material_1015;478.11;309.93;27.04.2025 12:00;TEST_SYSTEM
CUST016;Customer_CUST016;SALESDOC016;Retail;SalesOrg1;25.09.2023;SalesGroupC;02;1016;Material_1016;372.29;144.21;27.04.2025 12:00;TEST_SYSTEM
CUST017;Customer_CUST017;SALESDOC017;Wholesale;SalesOrg2;13.10.2024;SalesGroupA;01;1017;Material_1017;299.88;412.56;27.04.2025 12:00;TEST_SYSTEM
CUST018;Customer_CUST018;SALESDOC018;Online;SalesOrg3;19.03.2025;SalesGroupB;01;1018;Material_1018;451.17;368.09;27.04.2025 12:00;TEST_SYSTEM
CUST019;Customer_CUST019;SALESDOC019;Retail;SalesOrg1;07.06.2023;SalesGroupC;02;1019;Material_1019;219.53;435.66;27.04.2025 12:00;TEST_SYSTEM
CUST020;Customer_CUST020;SALESDOC020;Wholesale;SalesOrg2;23.11.2024;SalesGroupA;01;1020;Material_1020;311.78;153.92;27.04.2025 12:00;TEST_SYSTEM
CUST021;Customer_CUST021;SALESDOC021;Online;SalesOrg3;02.07.2025;SalesGroupB;01;1021;Material_1021;488.31;279.87;27.04.2025 12:00;TEST_SYSTEM
CUST022;Customer_CUST022;SALESDOC022;Retail;SalesOrg1;14.12.2023;SalesGroupC;02;1022;Material_1022;329.12;191.53;27.04.2025 12:00;TEST_SYSTEM
CUST023;Customer_CUST023;SALESDOC023;Wholesale;SalesOrg2;30.07.2024;SalesGroupA;01;1023;Material_1023;240.74;467.82;27.04.2025 12:00;TEST_SYSTEM
CUST024;Customer_CUST024;SALESDOC024;Online;SalesOrg3;15.05.2025;SalesGroupB;01;1024;Material_1024;476.23;259.99;27.04.2025 12:00;TEST_SYSTEM
CUST025;Customer_CUST025;SALESDOC025;Retail;SalesOrg1;20.04.2023;SalesGroupC;02;1025;Material_1025;205.69;398.51;27.04.2025 12:00;TEST_SYSTEM
CUST026;Customer_CUST026;SALESDOC026;Wholesale;SalesOrg2;11.09.2024;SalesGroupA;01;1026;Material_1026;318.99;342.13;27.04.2025 12:00;TEST_SYSTEM
CUST027;Customer_CUST027;SALESDOC027;Online;SalesOrg3;05.11.2025;SalesGroupB;01;1027;Material_1027;452.77;225.56;27.04.2025 12:00;TEST_SYSTEM
CUST028;Customer_CUST028;SALESDOC028;Retail;SalesOrg1;26.02.2023;SalesGroupC;02;1028;Material_1028;363.45;415.77;27.04.2025 12:00;TEST_SYSTEM
CUST029;Customer_CUST029;SALESDOC029;Wholesale;SalesOrg2;01.02.2024;SalesGroupA;01;1029;Material_1029;312.89;138.67;27.04.2025 12:00;TEST_SYSTEM
CUST030;Customer_CUST030;SALESDOC030;Online;SalesOrg3;16.08.2025;SalesGroupB;01;1030;Material_1030;430.56;301.12;27.04.2025 12:00;TEST_SYSTEM
